n,num_trains,k,time,time_first_solution,solution_found,num_movements
0.1,30,6,32.113470792770386,32.113470792770386,True,183
0.1,30,9,45.042009592056274,45.042009592056274,True,177
0.1,30,444,1802.5925431251526,1802.5925431251526,False,175
0.1,30,1,11.756657361984253,11.756657361984253,True,204
0.1,30,4,27.28457283973694,27.28457283973694,True,202
0.1,30,320,1805.4813957214355,1805.4813957214355,False,181
0.1,30,7,38.75143885612488,38.75143885612488,True,174
0.1,30,12,59.21314549446106,59.21314549446106,True,190
0.1,30,55,274.3302104473114,274.3302104473114,True,172
0.1,30,6,32.95791721343994,32.95791721343994,True,165
0.1,30,378,1801.835032939911,1801.835032939911,False,165
0.1,30,8,40.26525568962097,40.26525568962097,True,180
0.1,30,7,37.775822162628174,37.775822162628174,True,165
0.1,30,2,15.126969337463379,15.126969337463379,True,186
0.1,30,373,1800.482754945755,1800.482754945755,False,159
0.1,30,13,56.43220663070679,56.43220663070679,True,173
0.1,30,3,20.73910093307495,20.73910093307495,True,172
0.1,30,374,1802.9395191669464,1802.9395191669464,False,174
0.1,30,2,17.041446685791016,17.041446685791016,True,189
0.1,30,3,25.646900415420532,25.646900415420532,True,189
0.1,30,3,21.487617254257202,21.487617254257202,True,162
0.1,30,4,23.45421075820923,23.45421075820923,True,171
0.1,30,3,20.818286418914795,20.818286418914795,True,181
0.1,30,365,1804.6325180530548,1804.6325180530548,False,167
0.1,30,3,20.349010467529297,20.349010467529297,True,167
0.1,30,4,25.27572512626648,25.27572512626648,True,190
0.1,30,17,83.44128274917603,83.44128274917603,True,167
0.1,30,7,38.50470566749573,38.50470566749573,True,168
0.1,30,403,1803.0373508930206,1803.0373508930206,False,181
0.1,30,2,17.320388793945312,17.320388793945312,True,160
0.1,30,6,36.76226997375488,36.76226997375488,True,166
0.1,30,2,16.706104516983032,16.706104516983032,True,182
0.1,30,3,23.17015552520752,23.17015552520752,True,174
0.1,30,46,386.20413422584534,386.20413422584534,True,165
0.1,30,2,14.446591854095459,14.446591854095459,True,166
0.1,30,466,1803.688812971115,1803.688812971115,False,167
0.1,30,376,1801.5351405143738,1801.5351405143738,False,175
0.1,30,21,96.99728965759277,96.99728965759277,True,168
0.1,30,10,55.31395626068115,55.31395626068115,True,180
0.1,30,376,1801.6844837665558,1801.6844837665558,False,166
0.1,30,9,48.217281103134155,48.217281103134155,True,156
0.1,30,422,1803.6669793128967,1803.6669793128967,False,173
0.1,30,6,36.15661573410034,36.15661573410034,True,173
0.1,30,402,1804.0265407562256,1804.0265407562256,False,151
0.1,30,1,11.378167867660522,11.378167867660522,True,184
0.1,30,408,1800.7293057441711,1800.7293057441711,False,171
0.1,30,414,1802.8296823501587,1802.8296823501587,False,166
0.1,30,3,18.627732515335083,18.627732515335083,True,178
0.1,30,22,98.24727988243103,98.24727988243103,True,172
0.1,30,3,20.36478042602539,20.36478042602539,True,191
0.1,30,416,1800.0865652561188,1800.0865652561188,False,172
0.1,30,418,1803.1335015296936,1803.1335015296936,False,172
0.1,30,417,1801.0418691635132,1801.0418691635132,False,157
0.1,30,345,1800.5137763023376,1800.5137763023376,False,174
0.1,30,4,26.6463840007782,26.6463840007782,True,181
0.1,30,385,1801.3735938072205,1801.3735938072205,False,174
0.1,30,6,32.31254839897156,32.31254839897156,True,160
0.1,30,60,269.54018354415894,269.54018354415894,True,164
0.1,30,368,1803.5799338817596,1803.5799338817596,False,164
0.1,30,3,20.01566219329834,20.01566219329834,True,191
0.1,30,2,16.018015146255493,16.018015146255493,True,184
0.1,30,6,32.88045048713684,32.88045048713684,True,178
