scenario,cost_line,time_line,plan_file
/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_time_20/scenario_solver_20_trains_5_units23_4920.json,"Cost of next node: Cost = 1,558.1 : 1,558.88 | cr=13, dd=20, da=18, tlv=0, sm=40, rd=153.00, cd=0, um=0",Time elapsed: 3.96 seconds,/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_time_20/plan_20_trains_5_units23_4920.json
/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_time_20/scenario_solver_20_trains_5_units23_4920.json,"Cost of next node: Cost = 1,533.9 : 1,534.74 | cr=11, dd=20, da=18, tlv=0, sm=40, rd=151.50, cd=0, um=0",Time elapsed: 3.98 seconds,/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_time_20/plan_20_trains_5_units23_4920.json
/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_time_20/scenario_solver_20_trains_5_units23_4920.json,"Cost of next node: Cost = 1,503.1 : 1,503.88 | cr=8, dd=20, da=18, tlv=0, sm=40, rd=151.50, cd=0, um=0",Time elapsed: 4.01 seconds,/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_time_20/plan_20_trains_5_units23_4920.json
/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_time_20/scenario_solver_20_trains_5_units23_4920.json,"Cost of next node: Cost = 1,475.9 : 1,481.73 | cr=8, dd=20, da=17, tlv=1, sm=40, rd=144.00, cd=0, um=0",Time elapsed: 4.04 seconds,/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_time_20/plan_20_trains_5_units23_4920.json
/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_time_20/scenario_solver_20_trains_5_units23_4920.json,"Cost of next node: Cost = 1,436.5 : 1,447.25 | cr=9, dd=19, da=17, tlv=2, sm=40, rd=136.50, cd=0, um=0",Time elapsed: 4.07 seconds,/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_time_20/plan_20_trains_5_units23_4920.json
/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_time_20/scenario_solver_20_trains_5_units23_4920.json,"Cost of next node: Cost = 1,331.1 : 1,341.87 | cr=9, dd=17, da=17, tlv=2, sm=40, rd=127.50, cd=0, um=0",Time elapsed: 4.09 seconds,/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_time_20/plan_20_trains_5_units23_4920.json
/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_time_20/scenario_solver_20_trains_5_units23_4920.json,"Cost of next node: Cost = 1,236.9 : 1,247.70 | cr=9, dd=15, da=17, tlv=2, sm=40, rd=129.00, cd=0, um=0",Time elapsed: 4.11 seconds,/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_time_20/plan_20_trains_5_units23_4920.json
/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_time_20/scenario_solver_20_trains_5_units23_4920.json,"Cost of next node: Cost = 1,115.1 : 1,125.91 | cr=9, dd=13, da=16, tlv=2, sm=40, rd=123.00, cd=0, um=0",Time elapsed: 4.13 seconds,/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_time_20/plan_20_trains_5_units23_4920.json
/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_time_20/scenario_solver_20_trains_5_units23_4920.json,"Cost of next node: Cost = 1,058.0 : 1,068.84 | cr=9, dd=12, da=16, tlv=2, sm=40, rd=118.50, cd=0, um=0",Time elapsed: 4.16 seconds,/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_time_20/plan_20_trains_5_units23_4920.json
/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_time_20/scenario_solver_20_trains_5_units23_4920.json,"Cost of next node: Cost = 857.2 : 868.04 | cr=11, dd=10, da=10, tlv=2, sm=40, rd=115.50, cd=0, um=0",Time elapsed: 4.22 seconds,/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_time_20/plan_20_trains_5_units23_4920.json
/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_time_20/scenario_solver_20_trains_5_units23_4920.json,"Cost of next node: Cost = 828.2 : 844.04 | cr=11, dd=10, da=8, tlv=3, sm=40, rd=108.00, cd=0, um=0",Time elapsed: 4.24 seconds,/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_time_20/plan_20_trains_5_units23_4920.json
/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_time_20/scenario_solver_20_trains_5_units23_4920.json,"Cost of next node: Cost = 747.5 : 768.33 | cr=10, dd=10, da=4, tlv=4, sm=40, rd=99.00, cd=0, um=0",Time elapsed: 4.26 seconds,/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_time_20/plan_20_trains_5_units23_4920.json
/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_time_20/scenario_solver_20_trains_5_units23_4920.json,"Cost of next node: Cost = 717.5 : 738.33 | cr=7, dd=10, da=4, tlv=4, sm=40, rd=99.00, cd=0, um=0",Time elapsed: 4.38 seconds,/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_time_20/plan_20_trains_5_units23_4920.json
/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_time_20/scenario_solver_20_trains_5_units23_4920.json,"Cost of next node: Cost = 672.8 : 698.60 | cr=6, dd=9, da=4, tlv=5, sm=40, rd=96.00, cd=0, um=0",Time elapsed: 4.49 seconds,/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_time_20/plan_20_trains_5_units23_4920.json
/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_time_20/scenario_solver_20_trains_5_units23_4920.json,"Cost of next node: Cost = 646.1 : 676.93 | cr=7, dd=8, da=4, tlv=6, sm=40, rd=93.00, cd=0, um=0",Time elapsed: 4.63 seconds,/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_time_20/plan_20_trains_5_units23_4920.json
/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_time_20/scenario_solver_20_trains_5_units23_4920.json,"Cost of next node: Cost = 605.9 : 636.73 | cr=8, dd=7, da=4, tlv=6, sm=40, rd=93.00, cd=0, um=0",Time elapsed: 4.74 seconds,/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_time_20/plan_20_trains_5_units23_4920.json
/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_time_20/scenario_solver_20_trains_5_units23_4920.json,"Cost of next node: Cost = 565.2 : 596.03 | cr=9, dd=6, da=4, tlv=6, sm=40, rd=93.00, cd=0, um=0",Time elapsed: 4.77 seconds,/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_time_20/plan_20_trains_5_units23_4920.json
/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_time_20/scenario_solver_20_trains_5_units23_4920.json,"Cost of next node: Cost = 534.8 : 565.60 | cr=11, dd=5, da=4, tlv=6, sm=40, rd=93.00, cd=0, um=0",Time elapsed: 4.80 seconds,/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_time_20/plan_20_trains_5_units23_4920.json
/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_time_20/scenario_solver_20_trains_5_units23_4920.json,"Cost of next node: Cost = 509.8 : 535.60 | cr=10, dd=5, da=4, tlv=5, sm=40, rd=96.00, cd=0, um=0",Time elapsed: 4.93 seconds,/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_time_20/plan_20_trains_5_units23_4920.json
/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_time_20/scenario_solver_20_trains_5_units23_4920.json,"Cost of next node: Cost = 484.8 : 515.60 | cr=6, dd=5, da=4, tlv=6, sm=40, rd=93.00, cd=0, um=0",Time elapsed: 5.05 seconds,/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_time_20/plan_20_trains_5_units23_4920.json
/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_time_20/scenario_solver_20_trains_5_units23_4920.json,"Cost of next node: Cost = 429.8 : 465.60 | cr=6, dd=4, da=3, tlv=7, sm=40, rd=87.00, cd=0, um=0",Time elapsed: 5.17 seconds,/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_time_20/plan_20_trains_5_units23_4920.json
/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_time_20/scenario_solver_20_trains_5_units23_4920.json,"Cost of next node: Cost = 389.8 : 425.60 | cr=7, dd=3, da=3, tlv=7, sm=40, rd=87.00, cd=0, um=0",Time elapsed: 5.20 seconds,/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_time_20/plan_20_trains_5_units23_4920.json
/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_time_20/scenario_solver_20_trains_5_units23_4920.json,"Cost of next node: Cost = 364.8 : 395.60 | cr=6, dd=3, da=3, tlv=6, sm=40, rd=90.00, cd=0, um=0",Time elapsed: 5.33 seconds,/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_time_20/plan_20_trains_5_units23_4920.json
/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_time_20/scenario_solver_20_trains_5_units23_4920.json,"Cost of next node: Cost = 289.8 : 325.60 | cr=4, dd=2, da=2, tlv=7, sm=40, rd=84.00, cd=0, um=0",Time elapsed: 5.53 seconds,/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_time_20/plan_20_trains_5_units23_4920.json
