num_trains,type,time,time_first_solution,solution_found,num_movements
5,1,2.3038698,2.3038698,True,10
5,1,2.1867836,2.1867836,True,10
5,1,2.1829903,2.1829903,True,10
5,1,1.6797803,1.6797803,True,10
5,1,2.1413502,2.1413502,True,10
5,1,1.670634,1.670634,True,10
5,1,2.1709743,2.1709743,True,10
5,1,2.1080586,2.1080586,True,10
5,1,2.1208453,2.1208453,True,10
5,1,1.6793712,1.6793712,True,10
5,1,2.3008297,2.3008297,True,10
5,1,1.7604128,1.7604128,True,10
5,1,2.2727036,2.2727036,True,10
5,1,2.3047823,2.3047823,True,10
5,1,2.2434379,2.2434379,True,10
5,1,2.2923331,2.2923331,True,10
5,1,2.2985511,2.2985511,True,10
5,1,2.296382,2.296382,True,10
5,1,2.154228,2.154228,True,10
5,1,2.1918826,2.1918826,True,10
5,1,2.3260888,2.3260888,True,10
5,1,2.3186047,2.3186047,True,10
5,1,2.169064,2.169064,True,10
5,1,1.8890362,1.8890362,True,10
5,1,2.5061625,2.5061625,True,10
5,1,2.2437933,2.2437933,True,10
5,1,2.1875788,2.1875788,True,10
5,1,2.2175998,2.2175998,True,10
5,1,2.1639037,2.1639037,True,10
5,1,1.7406818,1.7406818,True,10
5,1/3,2.2954792,2.29,True,10
5,1/3,2.2253814,2.13,True,10
5,1/3,2.3286897,2.3286897,True,10
5,1/3,2.4452721,2.38,True,10
5,1/3,2.2860005,2.2860005,True,10
5,1/3,2.3023537,2.3023537,True,10
5,1/3,2.3451124,2.25,True,10
5,1/3,2.3862007,2.3862007,True,10
5,1/3,1.8082615,1.8082615,True,10
5,1/3,1.8259716,1.8259716,True,10
5,1/3,2.4413408,2.4413408,True,10
5,1/3,2.4991154,2.23,True,10
5,1/3,1.9710019,1.9710019,True,10
5,1/3,2.2635845,2.23,True,10
5,1/3,2.415081,2.415081,True,10
5,1/3,2.2742608,2.2742608,True,10
5,1/3,2.3484238,2.2,True,10
5,1/3,2.2707049,2.17,True,10
5,1/3,2.3393889,2.21,True,10
5,1/3,2.3301949,2.18,True,10
5,1/3,2.1384095,2.1384095,True,10
5,1/3,2.1673813,2.1673813,True,10
5,1/3,2.5097194,2.5,True,10
5,1/3,2.435557,2.435557,True,10
5,1/3,2.4239513,2.32,True,10
5,1/3,1.8389026,1.82,True,10
5,1/3,2.4495227,2.24,True,10
5,1/3,2.2747801,2.2747801,True,10
5,1/3,2.3887465,2.3887465,True,10
5,1/3,2.283336,2.19,True,10
5,num_trains,0.6014556,0.6014556,True,10
5,num_trains,0.5531671,0.47,True,10
5,num_trains,0.5823875,0.49,True,10
5,num_trains,0.5385237,0.45,True,10
5,num_trains,0.5142845,0.4,True,10
5,num_trains,0.5460262,0.46,True,10
5,num_trains,0.5351868,0.45,True,10
5,num_trains,0.53274,0.53274,True,10
5,num_trains,0.5685782,0.48,True,10
