filename,found,total_computation_time
scenario_solver_27_trains_9_units23,True,00:00:12.0382987
scenario_solver_27_trains_9_units24,True,00:00:12.7871244
scenario_solver_27_trains_9_units25,True,00:00:10.4942936
scenario_solver_27_trains_9_units26,True,00:00:10.3330804
scenario_solver_27_trains_9_units27,True,00:00:13.6384224
scenario_solver_29_trains_5_units5,True,00:00:32.1296950
scenario_solver_29_trains_5_units6,True,00:00:14.3894003
scenario_solver_29_trains_5_units7,True,00:00:11.8264204
scenario_solver_29_trains_5_units8,True,00:00:11.3690825
scenario_solver_29_trains_5_units9,True,00:00:12.3503981
scenario_solver_20_trains_5_units1,True,00:00:09.5617729
scenario_solver_20_trains_5_units10,True,00:00:07.3080706
scenario_solver_20_trains_5_units11,True,00:00:08.0183942
scenario_solver_20_trains_5_units12,True,00:00:07.8386025
scenario_solver_20_trains_5_units13,True,00:00:07.1192280
scenario_solver_32_trains_1_units1,True,00:00:30.7677207
scenario_solver_32_trains_1_units10,True,00:00:42.1345122
scenario_solver_32_trains_1_units11,True,00:00:26.3601888
scenario_solver_32_trains_1_units12,True,00:00:52.3371707
scenario_solver_32_trains_1_units13,True,00:00:36.2131686
scenario_solver_33_trains_33_units23,True,00:01:12.3700778
scenario_solver_33_trains_33_units24,True,00:00:25.4218864
scenario_solver_33_trains_33_units25,True,00:00:40.5531709
scenario_solver_33_trains_33_units26,True,00:00:30.6539715
scenario_solver_33_trains_33_units27,True,00:00:41.8921495
scenario_solver_32_trains_11_units28,True,00:00:14.8279444
scenario_solver_32_trains_11_units29,True,00:00:50.7265296
scenario_solver_32_trains_11_units3,True,00:00:31.8119893
scenario_solver_32_trains_11_units30,True,00:00:35.9318068
scenario_solver_32_trains_11_units4,True,00:00:21.1179000
scenario_solver_28_trains_5_units5,True,00:00:10.5077093
scenario_solver_28_trains_5_units6,True,00:00:13.5024635
scenario_solver_28_trains_5_units7,True,00:00:13.3158318
scenario_solver_28_trains_5_units8,True,00:00:11.8758280
scenario_solver_28_trains_5_units9,True,00:00:11.2391140
scenario_solver_32_trains_11_units19,True,00:00:57.6092607
scenario_solver_32_trains_11_units2,True,00:01:24.1446835
scenario_solver_32_trains_11_units20,True,00:00:22.5246605
scenario_solver_32_trains_11_units21,True,00:00:21.2404954
scenario_solver_32_trains_11_units22,True,00:00:29.6564097
scenario_solver_28_trains_28_units1,True,00:00:07.3241989
scenario_solver_28_trains_28_units10,True,00:00:07.9943272
scenario_solver_28_trains_28_units11,True,00:00:08.6727449
scenario_solver_28_trains_28_units12,True,00:00:07.3801275
scenario_solver_28_trains_28_units13,True,00:00:09.6454169
scenario_solver_33_trains_11_units14,True,00:00:59.3691569
scenario_solver_33_trains_11_units15,True,00:01:10.1013231
scenario_solver_33_trains_11_units16,True,00:00:20.6267960
scenario_solver_33_trains_11_units17,True,00:00:43.2541049
scenario_solver_33_trains_11_units18,True,00:00:37.5190600
scenario_solver_27_trains_9_units14,True,00:00:13.0008577
scenario_solver_27_trains_9_units15,True,00:00:11.4643399
scenario_solver_27_trains_9_units16,True,00:00:10.1255009
scenario_solver_27_trains_9_units17,True,00:00:10.0481026
scenario_solver_27_trains_9_units18,True,00:00:11.5278220
scenario_solver_32_trains_1_units14,True,00:00:25.9170343
scenario_solver_32_trains_1_units15,True,00:00:45.3635218
scenario_solver_32_trains_1_units16,True,00:01:13.8792736
scenario_solver_32_trains_1_units17,True,00:00:31.5708505
scenario_solver_32_trains_1_units18,True,00:00:57.3103591
scenario_solver_25_trains_5_units19,True,00:00:10.8317396
scenario_solver_25_trains_5_units2,True,00:00:10.8434175
scenario_solver_25_trains_5_units20,True,00:00:09.7559758
scenario_solver_25_trains_5_units21,True,00:00:10.4458189
scenario_solver_25_trains_5_units22,True,00:00:10.5396738
scenario_solver_28_trains_10_units1,True,00:00:12.7065806
scenario_solver_28_trains_10_units10,True,00:00:13.2744269
scenario_solver_28_trains_10_units11,True,00:00:11.0066144
scenario_solver_28_trains_10_units12,True,00:00:12.6765742
scenario_solver_28_trains_10_units13,True,00:00:12.2347125
scenario_solver_31_trains_1_units19,True,00:00:14.1545013
scenario_solver_31_trains_1_units2,True,00:00:12.8795514
scenario_solver_31_trains_1_units20,True,00:00:12.8778616
scenario_solver_31_trains_1_units21,True,00:00:17.6184352
