filename,found,total_computation_time
scenario_solver_27_trains_9_units23,True,00:00:22.0778526
scenario_solver_27_trains_9_units24,True,00:00:19.8485035
scenario_solver_27_trains_9_units25,True,00:00:31.7922366
scenario_solver_27_trains_9_units26,True,00:00:15.5627380
scenario_solver_27_trains_9_units27,True,00:00:21.6209617
scenario_solver_29_trains_5_units5,True,00:00:40.1438913
scenario_solver_29_trains_5_units6,True,00:00:19.4155411
scenario_solver_29_trains_5_units7,True,00:00:28.0496100
scenario_solver_29_trains_5_units8,True,00:00:39.4533219
scenario_solver_29_trains_5_units9,True,00:01:45.5580467
scenario_solver_20_trains_5_units1,True,00:00:14.9078077
scenario_solver_20_trains_5_units10,True,00:00:14.0596056
scenario_solver_20_trains_5_units11,True,00:00:15.3016126
scenario_solver_20_trains_5_units12,True,00:00:16.2935238
scenario_solver_20_trains_5_units13,True,00:00:15.0220576
scenario_solver_32_trains_1_units1,True,00:03:04.3858114
scenario_solver_32_trains_1_units10,True,00:02:07.9176118
scenario_solver_32_trains_1_units11,True,00:02:04.8757737
scenario_solver_32_trains_1_units12,True,00:02:56.3254075
scenario_solver_32_trains_1_units13,True,00:03:05.2423525
scenario_solver_33_trains_33_units23,True,00:03:12.9957481
scenario_solver_33_trains_33_units24,True,00:03:32.9404402
scenario_solver_33_trains_33_units25,True,00:03:35.6841865
scenario_solver_33_trains_33_units27,True,00:03:39.9398206
scenario_solver_32_trains_11_units28,True,00:02:52.1726913
scenario_solver_32_trains_11_units29,True,00:02:53.9731896
scenario_solver_32_trains_11_units3,True,00:03:21.8062276
scenario_solver_32_trains_11_units30,True,00:01:52.0756671
scenario_solver_32_trains_11_units4,True,00:02:08.5443830
scenario_solver_28_trains_5_units5,True,00:00:25.1585130
scenario_solver_28_trains_5_units6,True,00:01:45.2778853
scenario_solver_28_trains_5_units7,True,00:01:39.6123466
scenario_solver_28_trains_5_units8,True,00:00:29.7157660
scenario_solver_28_trains_5_units9,True,00:00:17.4096156
scenario_solver_32_trains_11_units19,True,00:02:11.9731955
scenario_solver_32_trains_11_units2,True,00:02:36.4360517
scenario_solver_32_trains_11_units20,True,00:02:48.0522711
scenario_solver_32_trains_11_units21,True,00:02:40.9860347
scenario_solver_32_trains_11_units22,True,00:01:32.9736627
scenario_solver_28_trains_28_units1,True,00:00:44.2022300
scenario_solver_28_trains_28_units10,True,00:00:15.3426929
scenario_solver_28_trains_28_units11,True,00:00:18.2329129
scenario_solver_28_trains_28_units12,True,00:00:16.2207260
scenario_solver_28_trains_28_units13,True,00:00:27.9492920
scenario_solver_33_trains_11_units14,True,00:02:39.4432206
scenario_solver_33_trains_11_units16,True,00:02:52.3958850
scenario_solver_33_trains_11_units17,True,00:03:09.9506735
scenario_solver_33_trains_11_units18,True,00:03:33.0379299
scenario_solver_27_trains_9_units14,True,00:00:17.1956542
scenario_solver_27_trains_9_units15,True,00:00:16.7523323
scenario_solver_27_trains_9_units16,True,00:00:25.0948689
scenario_solver_27_trains_9_units17,True,00:00:17.0688080
scenario_solver_27_trains_9_units18,True,00:00:48.3522883
scenario_solver_32_trains_1_units14,True,00:01:58.6799455
scenario_solver_32_trains_1_units15,True,00:02:24.8266830
scenario_solver_32_trains_1_units16,True,00:03:00.4586064
scenario_solver_32_trains_1_units17,True,00:02:39.3517027
scenario_solver_32_trains_1_units18,True,00:01:47.3502800
scenario_solver_25_trains_5_units19,True,00:00:17.6748232
scenario_solver_25_trains_5_units2,True,00:00:15.2030238
scenario_solver_25_trains_5_units20,True,00:00:14.5482705
scenario_solver_25_trains_5_units21,True,00:00:14.8250793
scenario_solver_25_trains_5_units22,True,00:00:17.5857607
scenario_solver_28_trains_10_units1,True,00:00:18.6678329
scenario_solver_28_trains_10_units10,True,00:00:45.4791909
scenario_solver_28_trains_10_units11,True,00:00:52.9169204
scenario_solver_28_trains_10_units12,True,00:00:53.7246280
scenario_solver_28_trains_10_units13,True,00:01:11.3681977
scenario_solver_31_trains_1_units19,True,00:02:07.0071600
scenario_solver_31_trains_1_units2,True,00:02:20.8506507
scenario_solver_31_trains_1_units20,True,00:00:40.2083666
scenario_solver_31_trains_1_units21,True,00:01:20.8340422
scenario_solver_31_trains_1_units22,True,00:00:35.7975780
scenario_solver_25_trains_1_units19,True,00:00:20.3698056
scenario_solver_25_trains_1_units2,True,00:00:19.1324062
scenario_solver_25_trains_1_units20,True,00:00:15.6495898
scenario_solver_25_trains_1_units21,True,00:00:17.7079233
scenario_solver_25_trains_1_units22,True,00:00:15.2410555
scenario_solver_10_trains_1_units14,True,00:00:05.6916864
scenario_solver_10_trains_1_units15,True,00:00:06.7426915
