scenario,cost_line,time_line,plan_file
"/home/thomasverwaal/Robust-Rail-NL/mathematical-models/data_types_360/scenarios_solver_types/scenario_solver_10_trains_5_units5.json","Cost of next node: Cost = 30.0 : 30.40 | cr=3, dd=0, da=0, tlv=0, sm=20, rd=165.00, cd=0, um=0","Time elapsed: 4.15 seconds","/home/thomasverwaal/Robust-Rail-NL/mathematical-models/data_types_360/local_plans_ls_discreet/plan_10_trains_5_units5.json"
"/home/thomasverwaal/Robust-Rail-NL/mathematical-models/data_types_360/scenarios_solver_types/scenario_solver_10_trains_5_units5.json","Cost of next node: Cost = 10.0 : 10.40 | cr=1, dd=0, da=0, tlv=0, sm=20, rd=183.00, cd=0, um=0","Time elapsed: 4.42 seconds","/home/thomasverwaal/Robust-Rail-NL/mathematical-models/data_types_360/local_plans_ls_discreet/plan_10_trains_5_units5.json"
"/home/thomasverwaal/Robust-Rail-NL/mathematical-models/data_types_360/scenarios_solver_types/scenario_solver_10_trains_5_units5.json","Cost of next node: Cost = 0.0 : 0.40 | cr=0, dd=0, da=0, tlv=0, sm=20, rd=192.00, cd=0, um=0","Time elapsed: 4.58 seconds","/home/thomasverwaal/Robust-Rail-NL/mathematical-models/data_types_360/local_plans_ls_discreet/plan_10_trains_5_units5.json"
"/home/thomasverwaal/Robust-Rail-NL/mathematical-models/data_types_360/scenarios_solver_types/scenario_solver_10_trains_5_units5.json","Cost of next node: Cost = 0.0 : 0.40 | cr=0, dd=0, da=0, tlv=0, sm=20, rd=180.00, cd=0, um=0","Time elapsed: 4.72 seconds","/home/thomasverwaal/Robust-Rail-NL/mathematical-models/data_types_360/local_plans_ls_discreet/plan_10_trains_5_units5.json"
"/home/thomasverwaal/Robust-Rail-NL/mathematical-models/data_types_360/scenarios_solver_types/scenario_solver_10_trains_5_units5.json","Cost of next node: Cost = 0.0 : 0.40 | cr=0, dd=0, da=0, tlv=0, sm=20, rd=168.00, cd=0, um=0","Time elapsed: 5.11 seconds","/home/thomasverwaal/Robust-Rail-NL/mathematical-models/data_types_360/local_plans_ls_discreet/plan_10_trains_5_units5.json"
"/home/thomasverwaal/Robust-Rail-NL/mathematical-models/data_types_360/scenarios_solver_types/scenario_solver_10_trains_5_units5.json","Cost of next node: Cost = 0.0 : 0.40 | cr=0, dd=0, da=0, tlv=0, sm=20, rd=144.00, cd=0, um=0","Time elapsed: 5.40 seconds","/home/thomasverwaal/Robust-Rail-NL/mathematical-models/data_types_360/local_plans_ls_discreet/plan_10_trains_5_units5.json"
"/home/thomasverwaal/Robust-Rail-NL/mathematical-models/data_types_360/scenarios_solver_types/scenario_solver_10_trains_5_units5.json","Cost of solution: Cost = 0.0 : 0.40 | cr=0, dd=0, da=0, tlv=0, sm=20, rd=186.00, cd=0, um=0","Total computation time: 00:00:09.8410514","/home/thomasverwaal/Robust-Rail-NL/mathematical-models/data_types_360/local_plans_ls_discreet/plan_10_trains_5_units5.json"
"/home/thomasverwaal/Robust-Rail-NL/mathematical-models/data_types_360/scenarios_solver_types/scenario_solver_10_trains_5_units6.json","Cost of next node: Cost = 55.0 : 60.40 | cr=4, dd=0, da=0, tlv=1, sm=20, rd=165.00, cd=0, um=0","Time elapsed: 3.78 seconds","/home/thomasverwaal/Robust-Rail-NL/mathematical-models/data_types_360/local_plans_ls_discreet/plan_10_trains_5_units6.json"
"/home/thomasverwaal/Robust-Rail-NL/mathematical-models/data_types_360/scenarios_solver_types/scenario_solver_10_trains_5_units6.json","Cost of next node: Cost = 35.0 : 40.40 | cr=2, dd=0, da=0, tlv=1, sm=20, rd=168.00, cd=0, um=0","Time elapsed: 4.12 seconds","/home/thomasverwaal/Robust-Rail-NL/mathematical-models/data_types_360/local_plans_ls_discreet/plan_10_trains_5_units6.json"
"/home/thomasverwaal/Robust-Rail-NL/mathematical-models/data_types_360/scenarios_solver_types/scenario_solver_10_trains_5_units6.json","Cost of next node: Cost = 20.0 : 20.40 | cr=2, dd=0, da=0, tlv=0, sm=20, rd=162.00, cd=0, um=0","Time elapsed: 4.32 seconds","/home/thomasverwaal/Robust-Rail-NL/mathematical-models/data_types_360/local_plans_ls_discreet/plan_10_trains_5_units6.json"
"/home/thomasverwaal/Robust-Rail-NL/mathematical-models/data_types_360/scenarios_solver_types/scenario_solver_10_trains_5_units6.json","Cost of next node: Cost = 10.0 : 10.40 | cr=1, dd=0, da=0, tlv=0, sm=20, rd=138.00, cd=0, um=0","Time elapsed: 4.50 seconds","/home/thomasverwaal/Robust-Rail-NL/mathematical-models/data_types_360/local_plans_ls_discreet/plan_10_trains_5_units6.json"
"/home/thomasverwaal/Robust-Rail-NL/mathematical-models/data_types_360/scenarios_solver_types/scenario_solver_10_trains_5_units6.json","Cost of next node: Cost = 0.0 : 0.40 | cr=0, dd=0, da=0, tlv=0, sm=20, rd=150.00, cd=0, um=0","Time elapsed: 4.60 seconds","/home/thomasverwaal/Robust-Rail-NL/mathematical-models/data_types_360/local_plans_ls_discreet/plan_10_trains_5_units6.json"
"/home/thomasverwaal/Robust-Rail-NL/mathematical-models/data_types_360/scenarios_solver_types/scenario_solver_10_trains_5_units6.json","Cost of next node: Cost = 0.0 : 0.40 | cr=0, dd=0, da=0, tlv=0, sm=20, rd=138.00, cd=0, um=0","Time elapsed: 4.71 seconds","/home/thomasverwaal/Robust-Rail-NL/mathematical-models/data_types_360/local_plans_ls_discreet/plan_10_trains_5_units6.json"
"/home/thomasverwaal/Robust-Rail-NL/mathematical-models/data_types_360/scenarios_solver_types/scenario_solver_10_trains_5_units6.json","Cost of next node: Cost = 0.0 : 0.40 | cr=0, dd=0, da=0, tlv=0, sm=20, rd=126.00, cd=0, um=0","Time elapsed: 4.88 seconds","/home/thomasverwaal/Robust-Rail-NL/mathematical-models/data_types_360/local_plans_ls_discreet/plan_10_trains_5_units6.json"
"/home/thomasverwaal/Robust-Rail-NL/mathematical-models/data_types_360/scenarios_solver_types/scenario_solver_10_trains_5_units6.json","Cost of next node: Cost = 0.0 : 0.40 | cr=0, dd=0, da=0, tlv=0, sm=20, rd=123.00, cd=0, um=0","Time elapsed: 5.11 seconds","/home/thomasverwaal/Robust-Rail-NL/mathematical-models/data_types_360/local_plans_ls_discreet/plan_10_trains_5_units6.json"
