filename,found,endtime,total_computation_time
solver_20_trains_5_units17,True,4920,00:14:08.3463663
solver_20_trains_5_units17,True,5160,00:04:12.3592854
solver_20_trains_5_units17,True,5400,00:01:27.7879804
solver_20_trains_5_units17,True,5640,00:01:57.7728331
solver_20_trains_5_units17,True,5880,00:01:28.1827172
solver_20_trains_5_units7,True,4920,00:05:52.8127255
solver_20_trains_5_units7,True,5160,00:01:42.0180655
solver_20_trains_5_units7,True,5400,00:01:44.0982315
solver_20_trains_5_units7,True,5640,00:01:19.3785919
solver_20_trains_5_units7,True,5880,00:01:10.0030775
solver_20_trains_5_units23,True,5160,00:03:45.8043228
solver_20_trains_5_units23,True,5880,00:01:28.9333793
solver_20_trains_5_units10,True,4920,00:14:44.6414077
solver_20_trains_5_units10,True,5400,00:01:59.3631834
solver_20_trains_5_units10,True,5640,00:02:01.9363040
solver_20_trains_5_units10,True,5880,00:01:14.4857479
solver_20_trains_5_units2,True,4920,00:18:15.0902183
solver_20_trains_5_units2,True,5160,00:06:35.9455279
solver_20_trains_5_units2,True,5400,00:02:10.9078390
solver_20_trains_5_units2,True,5640,00:01:11.8515575
solver_20_trains_5_units2,True,5880,00:00:34.4543854
solver_20_trains_5_units5,True,4920,00:01:48.9767891
solver_20_trains_5_units5,True,5160,00:09:52.1343295
solver_20_trains_5_units5,True,5880,00:01:32.3581527
solver_20_trains_5_units16,True,5160,00:02:36.7335877
solver_20_trains_5_units16,True,5400,00:01:41.7349472
solver_20_trains_5_units16,True,5640,00:01:46.3232081
solver_20_trains_5_units16,True,5880,00:01:21.4454141
solver_20_trains_5_units12,True,5160,00:01:47.8859017
solver_20_trains_5_units12,True,5400,00:01:26.6421458
solver_20_trains_5_units12,True,5640,00:01:38.5739418
solver_20_trains_5_units12,True,5880,00:01:27.7290248
solver_20_trains_5_units22,True,4920,00:02:33.3394711
solver_20_trains_5_units22,True,5160,00:03:14.9915342
solver_20_trains_5_units22,True,5400,00:09:04.3278222
solver_20_trains_5_units22,True,5640,00:01:31.4109433
solver_20_trains_5_units22,True,5880,00:02:21.8974269
solver_20_trains_5_units26,True,4920,00:06:28.9586727
solver_20_trains_5_units26,True,5160,00:04:19.4692985
solver_20_trains_5_units26,True,5400,00:01:03.3709876
solver_20_trains_5_units26,True,5640,00:02:00.0709921
solver_20_trains_5_units26,True,5880,00:01:24.3784097
solver_20_trains_5_units9,True,4920,00:01:30.8926457
solver_20_trains_5_units9,True,5160,00:02:26.1364543
solver_20_trains_5_units9,True,5640,00:02:50.1415422
solver_20_trains_5_units9,True,5880,00:01:23.6170523
solver_20_trains_5_units15,True,4920,00:03:11.2388221
solver_20_trains_5_units15,True,5160,00:04:46.2478186
solver_20_trains_5_units15,True,5400,00:01:25.7201723
solver_20_trains_5_units15,True,5640,00:00:39.3032890
solver_20_trains_5_units15,True,5880,00:01:21.6078176
solver_20_trains_5_units11,True,4920,00:16:01.0697070
solver_20_trains_5_units11,True,5160,00:03:50.3429389
solver_20_trains_5_units11,True,5400,00:01:04.5025990
solver_20_trains_5_units11,True,5640,00:00:33.2082417
solver_20_trains_5_units11,True,5880,00:01:27.5062057
solver_20_trains_5_units13,True,4920,00:09:23.6186674
solver_20_trains_5_units13,True,5160,00:02:20.0873439
solver_20_trains_5_units13,True,5400,00:03:25.8367919
solver_20_trains_5_units13,True,5640,00:01:09.0114458
solver_20_trains_5_units13,True,5880,00:01:44.1679019
solver_20_trains_5_units29,True,4920,00:09:08.1204810
solver_20_trains_5_units29,True,5160,00:01:59.7633454
solver_20_trains_5_units29,True,5400,00:05:25.2976804
solver_20_trains_5_units29,True,5640,00:01:00.3722484
solver_20_trains_5_units29,True,5880,00:01:57.4192182
solver_20_trains_5_units19,True,4920,00:14:56.1043792
solver_20_trains_5_units19,True,5160,00:01:37.5757646
solver_20_trains_5_units19,True,5400,00:01:22.9321881
solver_20_trains_5_units19,True,5640,00:00:33.0218133
solver_20_trains_5_units19,True,5880,00:01:13.8627839
