scenario,cost_line,time_line,plan_file
/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_time_20/scenario_solver_20_trains_5_units15_4800.json,"Cost of next node: Cost = 1,548.7 : 1,549.54 | cr=11, dd=20, da=18, tlv=0, sm=40, rd=153.00, cd=0, um=0",Time elapsed: 6.07 seconds,/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_time_20/plan_20_trains_5_units15_4800.json
/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_time_20/scenario_solver_20_trains_5_units15_4800.json,"Cost of next node: Cost = 1,520.2 : 1,520.97 | cr=9, dd=20, da=18, tlv=0, sm=40, rd=150.00, cd=0, um=0",Time elapsed: 6.09 seconds,/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_time_20/plan_20_trains_5_units15_4800.json
/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_time_20/scenario_solver_20_trains_5_units15_4800.json,"Cost of next node: Cost = 1,485.2 : 1,491.04 | cr=8, dd=20, da=17, tlv=1, sm=40, rd=145.50, cd=0, um=0",Time elapsed: 6.13 seconds,/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_time_20/plan_20_trains_5_units15_4800.json
/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_time_20/scenario_solver_20_trains_5_units15_4800.json,"Cost of next node: Cost = 1,463.7 : 1,469.53 | cr=10, dd=20, da=16, tlv=1, sm=40, rd=135.00, cd=0, um=0",Time elapsed: 6.19 seconds,/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_time_20/plan_20_trains_5_units15_4800.json
/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_time_20/scenario_solver_20_trains_5_units15_4800.json,"Cost of next node: Cost = 1,259.8 : 1,265.59 | cr=11, dd=16, da=16, tlv=1, sm=40, rd=123.00, cd=0, um=0",Time elapsed: 6.20 seconds,/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_time_20/plan_20_trains_5_units15_4800.json
/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_time_20/scenario_solver_20_trains_5_units15_4800.json,"Cost of next node: Cost = 1,201.9 : 1,207.72 | cr=10, dd=15, da=16, tlv=1, sm=40, rd=124.50, cd=0, um=0",Time elapsed: 6.23 seconds,/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_time_20/plan_20_trains_5_units15_4800.json
/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_time_20/scenario_solver_20_trains_5_units15_4800.json,"Cost of next node: Cost = 1,176.9 : 1,177.72 | cr=9, dd=15, da=16, tlv=0, sm=40, rd=124.50, cd=0, um=0",Time elapsed: 6.27 seconds,/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_time_20/plan_20_trains_5_units15_4800.json
/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_time_20/scenario_solver_20_trains_5_units15_4800.json,"Cost of next node: Cost = 1,028.9 : 1,034.69 | cr=10, dd=12, da=15, tlv=1, sm=40, rd=115.50, cd=0, um=0",Time elapsed: 6.29 seconds,/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_time_20/plan_20_trains_5_units15_4800.json
/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_time_20/scenario_solver_20_trains_5_units15_4800.json,"Cost of next node: Cost = 786.0 : 796.85 | cr=10, dd=11, da=5, tlv=2, sm=40, rd=105.00, cd=0, um=0",Time elapsed: 6.33 seconds,/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_time_20/plan_20_trains_5_units15_4800.json
/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_time_20/scenario_solver_20_trains_5_units15_4800.json,"Cost of next node: Cost = 765.9 : 776.69 | cr=13, dd=10, da=5, tlv=2, sm=40, rd=105.00, cd=0, um=0",Time elapsed: 6.35 seconds,/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_time_20/plan_20_trains_5_units15_4800.json
