scenario,cost_line,time_line,plan_file
"/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_types/scenario_solver_5_trains_1_units23.json","","","/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans/plan_5_trains_1_units23.json"
"/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_types/scenario_solver_5_trains_1_units23.json","Cost of solution: Cost = 0.0 : 0.20 | cr=0, dd=0, da=0, tlv=0, sm=10, rd=72.00, cd=0, um=0","Total computation time: 00:00:02.3008297","/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans/plan_5_trains_1_units23.json"
"/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_types/scenario_solver_5_trains_1_units24.json","","","/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans/plan_5_trains_1_units24.json"
"/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_types/scenario_solver_5_trains_1_units24.json","Cost of solution: Cost = 0.0 : 0.20 | cr=0, dd=0, da=0, tlv=0, sm=10, rd=72.00, cd=0, um=0","Total computation time: 00:00:01.7604128","/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans/plan_5_trains_1_units24.json"
"/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_types/scenario_solver_5_trains_1_units25.json","","","/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans/plan_5_trains_1_units25.json"
"/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_types/scenario_solver_5_trains_1_units25.json","Cost of solution: Cost = 0.0 : 0.20 | cr=0, dd=0, da=0, tlv=0, sm=10, rd=72.00, cd=0, um=0","Total computation time: 00:00:02.2727036","/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans/plan_5_trains_1_units25.json"
"/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_types/scenario_solver_5_trains_1_units26.json","","","/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans/plan_5_trains_1_units26.json"
"/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_types/scenario_solver_5_trains_1_units26.json","Cost of solution: Cost = 0.0 : 0.20 | cr=0, dd=0, da=0, tlv=0, sm=10, rd=72.00, cd=0, um=0","Total computation time: 00:00:02.3047823","/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans/plan_5_trains_1_units26.json"
"/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_types/scenario_solver_5_trains_1_units27.json","","","/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans/plan_5_trains_1_units27.json"
"/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_types/scenario_solver_5_trains_1_units27.json","Cost of solution: Cost = 0.0 : 0.20 | cr=0, dd=0, da=0, tlv=0, sm=10, rd=72.00, cd=0, um=0","Total computation time: 00:00:02.2434379","/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans/plan_5_trains_1_units27.json"
