scenario,k,time
locations/five_tracks_location.json | scenarios/five_tracks/two_trains_easiest.json,0,0.23202228546142578
locations/five_tracks_location.json | scenarios/five_tracks/two_trains_simple.json,0,0.06532931327819824
locations/five_tracks_location.json | scenarios/five_tracks/two_trains.json,0,0.07321357727050781
locations/five_tracks_location.json | scenarios/five_tracks/three_trains.json,0,0.08076357841491699
locations/five_tracks_location.json | scenarios/five_tracks/three_trains_difficult.json,0,0.023164033889770508
locations/four_tracks_location.json | scenarios/four_tracks/two_trains_simple.json,0,0.015349626541137695
locations/four_tracks_location.json | scenarios/four_tracks/two_trains_more_time.json,0,0.04136943817138672
locations/four_tracks_location.json | scenarios/four_tracks/two_trains.json,0,0.01497030258178711
locations/six_tracks_location.json | scenarios/six_tracks/three_trains.json,0,0.03651571273803711
locations/six_tracks_location.json | scenarios/six_tracks/four_trains.json,0,0.030542373657226562
locations/six_tracks_location.json | scenarios/six_tracks/four_trains_difficult.json,0,0.06559371948242188
locations/circle_location.json | scenarios/circle/four_trains.json,0,0.02372574806213379
locations/circle_location_small.json | scenarios/circle/three_trains.json,0,0.01619124412536621
locations/8_tracks_location.json | scenarios/8_tracks/7_trains.json,0,0.09573507308959961
locations/ten_tracks_location.json | scenarios/ten_tracks/nine_trains.json,0,0.17197704315185547
locations/ten_tracks_location.json | scenarios/ten_tracks/nine_trains_more_time.json,0,0.3266913890838623
locations/ten_tracks_location.json | scenarios/ten_tracks/ten_trains.json,0,0.23296403884887695
locations/ten_tracks_location.json | scenarios/ten_tracks/ten_trains_more_time.json,0,0.4245007038116455
locations/6_tracks_location.json | scenarios/6_tracks/4_trains.json,0,0.04240846633911133
locations/6_tracks_location.json | scenarios/6_tracks/5_trains.json,0,0.047430992126464844
locations/6_tracks_location.json | scenarios/6_tracks/5_trains_difficult.json,0,0.05749011039733887
locations/9_tracks_location.json | scenarios/9_tracks/7_trains.json,0,0.22281360626220703
locations/9_tracks_location.json | scenarios/9_tracks/7_trains_difficult.json,0,0.19521689414978027
locations/binckhorst.json | scenarios/kleinebinckhorst/15_trains.json,0,79.15171337127686
locations/binckhorst.json | scenarios/kleinebinckhorst/15_trains2.json,0,84.63291382789612
locations/binckhorst.json | scenarios/kleinebinckhorst/15_trains3.json,0,4.632827043533325
locations/binckhorst.json | scenarios/kleinebinckhorst/15_trains4.json,0,87.0723888874054
locations/binckhorst.json | scenarios/kleinebinckhorst/15_trains5.json,0,10.971794843673706
locations/binckhorst.json | scenarios/kleinebinckhorst/18_trains.json,0,84.86636757850647
101.83626365661621
393.492520570755
371.8080778121948
