scenario,k,time
locations/five_tracks_location.json | scenarios/five_tracks/two_trains_easiest.json,1,0.2362818717956543
locations/five_tracks_location.json | scenarios/five_tracks/two_trains_simple.json,0,0.04091167449951172
locations/five_tracks_location.json | scenarios/five_tracks/two_trains.json,57,2.182530403137207
locations/five_tracks_location.json | scenarios/five_tracks/three_trains.json,164,8.595874547958374
locations/five_tracks_location.json | scenarios/five_tracks/three_trains_difficult.json,10,0.34781479835510254
locations/four_tracks_location.json | scenarios/four_tracks/two_trains_simple.json,0,0.02773308753967285
locations/four_tracks_location.json | scenarios/four_tracks/two_trains_more_time.json,156,4.312726736068726
locations/four_tracks_location.json | scenarios/four_tracks/two_trains.json,6,0.13820886611938477
locations/six_tracks_location.json | scenarios/six_tracks/three_trains.json,5,0.3606255054473877
locations/six_tracks_location.json | scenarios/six_tracks/four_trains.json,9,0.627044677734375
locations/six_tracks_location.json | scenarios/six_tracks/four_trains_difficult.json,9,0.8489036560058594
locations/circle_location.json | scenarios/circle/four_trains.json,11,0.5869498252868652
locations/circle_location_small.json | scenarios/circle/three_trains.json,13,0.4048042297363281
locations/8_tracks_location.json | scenarios/8_tracks/7_trains.json,13,2.705172061920166
locations/ten_tracks_location.json | scenarios/ten_tracks/nine_trains.json,10,4.3383002281188965
locations/ten_tracks_location.json | scenarios/ten_tracks/nine_trains_more_time.json,10,5.500868797302246
locations/ten_tracks_location.json | scenarios/ten_tracks/ten_trains.json,10,5.3806679248809814
locations/ten_tracks_location.json | scenarios/ten_tracks/ten_trains_more_time.json,20,11.779417753219604
locations/6_tracks_location.json | scenarios/6_tracks/4_trains.json,7,0.5774900913238525
locations/6_tracks_location.json | scenarios/6_tracks/5_trains.json,3,0.4721949100494385
locations/6_tracks_location.json | scenarios/6_tracks/5_trains_difficult.json,24,2.357569694519043
locations/9_tracks_location.json | scenarios/9_tracks/7_trains.json,10,2.7364580631256104
locations/9_tracks_location.json | scenarios/9_tracks/7_trains_difficult.json,15,3.79758358001709
locations/binckhorst.json | scenarios/kleinebinckhorst/15_trains.json,195,1292.6986243724823
locations/binckhorst.json | scenarios/kleinebinckhorst/15_trains2.json,60,398.545610666275
locations/binckhorst.json | scenarios/kleinebinckhorst/15_trains3.json,13,103.73225402832031
locations/binckhorst.json | scenarios/kleinebinckhorst/15_trains4.json,14,173.11059069633484
locations/binckhorst.json | scenarios/kleinebinckhorst/15_trains5.json,226,1343.751592874527
locations/binckhorst.json | scenarios/kleinebinckhorst/18_trains.json,124,1080.45656927456732
locations/binckhorst.json | scenarios/kleinebinckhorst/20_trains.json,222,4731.099472045898
