scenario,k,time
locations/five_tracks_location.json | scenarios/five_tracks/two_trains_easiest.json,2,0.6886765956878662
locations/five_tracks_location.json | scenarios/five_tracks/two_trains_simple.json,1,0.17239665985107422
locations/five_tracks_location.json | scenarios/five_tracks/two_trains.json,999,69.60680961608887
locations/five_tracks_location.json | scenarios/five_tracks/three_trains.json,999,7062.255593538284
locations/five_tracks_location.json | scenarios/five_tracks/three_trains_difficult.json,11,0.606168270111084
locations/four_tracks_location.json | scenarios/four_tracks/two_trains_simple.json,0,0.04136824607849121
locations/four_tracks_location.json | scenarios/four_tracks/two_trains_more_time.json,999,42.218159914016724
locations/four_tracks_location.json | scenarios/four_tracks/two_trains.json,999,39.01909303665161
locations/six_tracks_location.json | scenarios/six_tracks/three_trains.json,4,0.8935673236846924
locations/six_tracks_location.json | scenarios/six_tracks/four_trains.json,999,108.71953272819519
locations/six_tracks_location.json | scenarios/six_tracks/four_trains_difficult.json,25,3.8731741905212402
locations/circle_location.json | scenarios/circle/four_trains.json,88,8.105341672897339
locations/circle_location_small.json | scenarios/circle/three_trains.json,999,56.96906089782715
locations/8_tracks_location.json | scenarios/8_tracks/7_trains.json,57,23.600722551345825
locations/ten_tracks_location.json | scenarios/ten_tracks/nine_trains.json,999,714.8392543792725
locations/ten_tracks_location.json | scenarios/ten_tracks/nine_trains_more_time.json,790,641.8139841556549
locations/ten_tracks_location.json | scenarios/ten_tracks/ten_trains.json,666,529.5548233985901
locations/ten_tracks_location.json | scenarios/ten_tracks/ten_trains_more_time.json,999,1085.5092749595642
locations/6_tracks_location.json | scenarios/6_tracks/4_trains.json,999,130.827308177948
locations/6_tracks_location.json | scenarios/6_tracks/5_trains.json,19,4.40123176574707
locations/6_tracks_location.json | scenarios/6_tracks/5_trains_difficult.json,90,15.679445505142212
locations/9_tracks_location.json | scenarios/9_tracks/7_trains.json,999,450.4293086528778
locations/9_tracks_location.json | scenarios/9_tracks/7_trains_difficult.json,999,470.481778383255
