scenario,k,time
locations/five_tracks_location.json | scenarios/five_tracks/two_trains_easiest.json,22,2.1129977703094482
locations/five_tracks_location.json | scenarios/five_tracks/two_trains_simple.json,1,0.16037511825561523
locations/five_tracks_location.json | scenarios/five_tracks/two_trains.json,431,38.04985165596008
locations/five_tracks_location.json | scenarios/five_tracks/three_trains.json,999,102.07053709030151
locations/five_tracks_location.json | scenarios/five_tracks/three_trains_difficult.json,999,62.75635743141174
locations/four_tracks_location.json | scenarios/four_tracks/two_trains_simple.json,1,0.07840728759765625
locations/four_tracks_location.json | scenarios/four_tracks/two_trains_more_time.json,226,14.003634929656982
locations/four_tracks_location.json | scenarios/four_tracks/two_trains.json,999,41.626267433166504
locations/six_tracks_location.json | scenarios/six_tracks/three_trains.json,6,0.8479399681091309
locations/six_tracks_location.json | scenarios/six_tracks/four_trains.json,999,108.30317378044128
locations/six_tracks_location.json | scenarios/six_tracks/four_trains_difficult.json,999,143.83325815200806
locations/circle_location.json | scenarios/circle/four_trains.json,999,104.57602882385254
locations/circle_location_small.json | scenarios/circle/three_trains.json,999,59.90672421455383
locations/8_tracks_location.json | scenarios/8_tracks/7_trains.json,999,388.0221755504608
locations/ten_tracks_location.json | scenarios/ten_tracks/nine_trains.json,999,564.3950984477997
locations/ten_tracks_location.json | scenarios/ten_tracks/nine_trains_more_time.json,999,466.17522048950195
locations/ten_tracks_location.json | scenarios/ten_tracks/ten_trains.json,999,440.1936309337616
locations/ten_tracks_location.json | scenarios/ten_tracks/ten_trains_more_time.json,999,550.3672273159027
locations/6_tracks_location.json | scenarios/6_tracks/4_trains.json,999,66.91402554512024
locations/6_tracks_location.json | scenarios/6_tracks/5_trains.json,999,92.42943143844604
locations/6_tracks_location.json | scenarios/6_tracks/5_trains_difficult.json,999,96.1096715927124
locations/9_tracks_location.json | scenarios/9_tracks/7_trains.json,999,241.2454390525818
locations/9_tracks_location.json | scenarios/9_tracks/7_trains_difficult.json,999,232.49364042282104
