num_trains,k,time
5,0,5.639730215072632
5,0,5.100918769836426
5,0,4.924658536911011
5,0,5.320171117782593
5,0,5.404750347137451
10,0,10.468106746673584
10,0,10.431724309921265
10,0,10.724938869476318
10,0,10.36275315284729
10,0,10.64543080329895
15,0,17.060757637023926
15,2,59.53532004356384
15,2,48.415024280548096
15,0,15.777095317840576
15,2,49.492268323898315
20,1,44.60002136230469
20,3,91.42112421989441
20,2,65.62458610534668
20,2,67.20072269439697
20,2,66.22108626365662
25,3,113.64170455932617
25,2,85.09051322937012
25,3,114.79149556159973
25,2,85.71400547027588
25,4,143.51163125038147
30,6,246.43416786193848
30,4,177.5457284450531
30,4,177.32883095741272
30,6,258.0614743232727
30,2,106.909019947052
