scenario,cost_line,time_line,plan_file
"/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_types_120/scenario_solver_5_trains_5_units19.json","","","/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_120/plan_5_trains_5_units19.json"
"/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_types_120/scenario_solver_5_trains_5_units19.json","Cost of solution: Cost = 0.0 : 0.20 | cr=0, dd=0, da=0, tlv=0, sm=10, rd=60.00, cd=0, um=0","Total computation time: 00:00:01.2129702","/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_120/plan_5_trains_5_units19.json"
"/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_types_120/scenario_solver_5_trains_5_units2.json","Cost of next node: Cost = 0.0 : 0.20 | cr=0, dd=0, da=0, tlv=0, sm=10, rd=60.00, cd=0, um=0","Time elapsed: 0.41 seconds","/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_120/plan_5_trains_5_units2.json"
"/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_types_120/scenario_solver_5_trains_5_units2.json","Cost of solution: Cost = 0.0 : 0.20 | cr=0, dd=0, da=0, tlv=0, sm=10, rd=60.00, cd=0, um=0","Total computation time: 00:00:00.8247948","/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_120/plan_5_trains_5_units2.json"
"/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_types_120/scenario_solver_5_trains_5_units20.json","Cost of next node: Cost = 0.0 : 0.20 | cr=0, dd=0, da=0, tlv=0, sm=10, rd=72.00, cd=0, um=0","Time elapsed: 0.42 seconds","/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_120/plan_5_trains_5_units20.json"
"/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_types_120/scenario_solver_5_trains_5_units20.json","Cost of next node: Cost = 0.0 : 0.20 | cr=0, dd=0, da=0, tlv=0, sm=10, rd=60.00, cd=0, um=0","Time elapsed: 0.55 seconds","/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_120/plan_5_trains_5_units20.json"
"/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_types_120/scenario_solver_5_trains_5_units20.json","Cost of solution: Cost = 0.0 : 0.20 | cr=0, dd=0, da=0, tlv=0, sm=10, rd=60.00, cd=0, um=0","Total computation time: 00:00:00.8688083","/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_120/plan_5_trains_5_units20.json"
"/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_types_120/scenario_solver_5_trains_5_units21.json","","","/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_120/plan_5_trains_5_units21.json"
"/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_types_120/scenario_solver_5_trains_5_units21.json","Cost of solution: Cost = 0.0 : 0.20 | cr=0, dd=0, da=0, tlv=0, sm=10, rd=60.00, cd=0, um=0","Total computation time: 00:00:00.8617122","/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_120/plan_5_trains_5_units21.json"
"/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_types_120/scenario_solver_5_trains_5_units22.json","Cost of next node: Cost = 61.5 : 61.70 | cr=1, dd=1, da=0, tlv=0, sm=10, rd=72.00, cd=0, um=0","Time elapsed: 0.47 seconds","/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_120/plan_5_trains_5_units22.json"
"/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_types_120/scenario_solver_5_trains_5_units22.json","Cost of next node: Cost = 20.9 : 21.10 | cr=0, dd=0, da=1, tlv=0, sm=10, rd=72.00, cd=0, um=0","Time elapsed: 0.55 seconds","/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_120/plan_5_trains_5_units22.json"
"/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_types_120/scenario_solver_5_trains_5_units22.json","Cost of next node: Cost = 0.0 : 0.20 | cr=0, dd=0, da=0, tlv=0, sm=10, rd=60.00, cd=0, um=0","Time elapsed: 0.59 seconds","/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_120/plan_5_trains_5_units22.json"
"/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_types_120/scenario_solver_5_trains_5_units22.json","Cost of solution: Cost = 0.0 : 0.20 | cr=0, dd=0, da=0, tlv=0, sm=10, rd=60.00, cd=0, um=0","Total computation time: 00:00:00.9088045","/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_120/plan_5_trains_5_units22.json"
