scenario,cost_line,time_line,plan_file
"/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_types_120/scenario_solver_15_trains_15_units5.json","Cost of next node: Cost = 1,151.0 : 1,156.56 | cr=10, dd=15, da=11, tlv=1, sm=30, rd=176.00, cd=0, um=0","Time elapsed: 1.50 seconds","/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_discreet_120/plan_15_trains_15_units5.json"
"/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_types_120/scenario_solver_15_trains_15_units5.json","Cost of next node: Cost = 1,125.5 : 1,131.11 | cr=9, dd=15, da=11, tlv=1, sm=30, rd=168.00, cd=0, um=0","Time elapsed: 1.58 seconds","/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_discreet_120/plan_15_trains_15_units5.json"
"/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_types_120/scenario_solver_15_trains_15_units5.json","Cost of next node: Cost = 1,095.6 : 1,101.20 | cr=8, dd=15, da=10, tlv=1, sm=30, rd=162.00, cd=0, um=0","Time elapsed: 1.63 seconds","/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_discreet_120/plan_15_trains_15_units5.json"
"/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_types_120/scenario_solver_15_trains_15_units5.json","Cost of next node: Cost = 1,056.8 : 1,067.39 | cr=5, dd=15, da=9, tlv=2, sm=30, rd=156.00, cd=0, um=0","Time elapsed: 1.69 seconds","/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_discreet_120/plan_15_trains_15_units5.json"
"/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_types_120/scenario_solver_15_trains_15_units5.json","Cost of next node: Cost = 1,014.7 : 1,020.31 | cr=10, dd=15, da=7, tlv=1, sm=30, rd=120.00, cd=0, um=0","Time elapsed: 1.72 seconds","/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_discreet_120/plan_15_trains_15_units5.json"
"/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_types_120/scenario_solver_15_trains_15_units5.json","Cost of next node: Cost = 969.4 : 979.95 | cr=9, dd=14, da=7, tlv=2, sm=30, rd=116.00, cd=0, um=0","Time elapsed: 1.73 seconds","/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_discreet_120/plan_15_trains_15_units5.json"
"/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_types_120/scenario_solver_15_trains_15_units5.json","Cost of next node: Cost = 823.1 : 838.75 | cr=8, dd=11, da=7, tlv=3, sm=30, rd=112.00, cd=0, um=0","Time elapsed: 1.75 seconds","/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_discreet_120/plan_15_trains_15_units5.json"
"/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_types_120/scenario_solver_15_trains_15_units5.json","Cost of next node: Cost = 675.7 : 696.30 | cr=6, dd=9, da=5, tlv=4, sm=30, rd=108.00, cd=0, um=0","Time elapsed: 1.76 seconds","/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_discreet_120/plan_15_trains_15_units5.json"
"/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_types_120/scenario_solver_15_trains_15_units5.json","Cost of next node: Cost = 550.2 : 575.83 | cr=7, dd=6, da=5, tlv=5, sm=30, rd=100.00, cd=0, um=0","Time elapsed: 1.77 seconds","/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_discreet_120/plan_15_trains_15_units5.json"
"/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_types_120/scenario_solver_15_trains_15_units5.json","Cost of next node: Cost = 454.8 : 485.40 | cr=6, dd=4, da=5, tlv=6, sm=30, rd=96.00, cd=0, um=0","Time elapsed: 1.80 seconds","/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_discreet_120/plan_15_trains_15_units5.json"
"/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_types_120/scenario_solver_15_trains_15_units5.json","Cost of next node: Cost = 409.8 : 445.40 | cr=7, dd=3, da=4, tlv=7, sm=30, rd=88.00, cd=0, um=0","Time elapsed: 1.84 seconds","/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_discreet_120/plan_15_trains_15_units5.json"
"/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_types_120/scenario_solver_15_trains_15_units5.json","Cost of next node: Cost = 353.8 : 394.40 | cr=5, dd=2, da=4, tlv=8, sm=30, rd=84.00, cd=0, um=0","Time elapsed: 1.90 seconds","/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_discreet_120/plan_15_trains_15_units5.json"
"/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_types_120/scenario_solver_15_trains_15_units5.json","Cost of next node: Cost = 246.8 : 292.40 | cr=5, dd=0, da=3, tlv=9, sm=30, rd=76.00, cd=0, um=0","Time elapsed: 1.99 seconds","/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_discreet_120/plan_15_trains_15_units5.json"
"/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_types_120/scenario_solver_15_trains_15_units5.json","Cost of next node: Cost = 236.8 : 282.42 | cr=4, dd=0, da=3, tlv=9, sm=31, rd=77.42, cd=0, um=0","Time elapsed: 6.21 seconds","/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_discreet_120/plan_15_trains_15_units5.json"
"/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_types_120/scenario_solver_15_trains_15_units5.json","Cost of next node: Cost = 216.8 : 262.42 | cr=4, dd=0, da=2, tlv=9, sm=31, rd=77.42, cd=0, um=0","Time elapsed: 7.31 seconds","/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_discreet_120/plan_15_trains_15_units5.json"
"/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_types_120/scenario_solver_15_trains_15_units5.json","Cost of next node: Cost = 201.8 : 242.42 | cr=4, dd=0, da=2, tlv=8, sm=31, rd=81.29, cd=0, um=0","Time elapsed: 11.24 seconds","/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_discreet_120/plan_15_trains_15_units5.json"
"/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_types_120/scenario_solver_15_trains_15_units5.json","Cost of next node: Cost = 176.8 : 212.42 | cr=3, dd=0, da=2, tlv=7, sm=31, rd=81.29, cd=0, um=0","Time elapsed: 12.50 seconds","/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_discreet_120/plan_15_trains_15_units5.json"
"/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_types_120/scenario_solver_15_trains_15_units5.json","Cost of next node: Cost = 150.0 : 190.62 | cr=3, dd=0, da=0, tlv=8, sm=31, rd=69.68, cd=0, um=0","Time elapsed: 12.63 seconds","/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_discreet_120/plan_15_trains_15_units5.json"
"/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_types_120/scenario_solver_15_trains_15_units5.json","Cost of next node: Cost = 135.0 : 170.62 | cr=3, dd=0, da=0, tlv=7, sm=31, rd=73.55, cd=0, um=0","Time elapsed: 13.47 seconds","/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_discreet_120/plan_15_trains_15_units5.json"
