rho,num_trains,k,time,time_first_solution,solution_found,num_movements
0.01,30,6,1827.6948821544647,1827.6948821544647,False,197
0.01,30,8,1964.9978952407837,1964.9978952407837,False,206
0.01,30,7,1853.435831785202,1853.435831785202,False,240
0.01,30,8,1904.3449029922485,1904.3449029922485,False,180
0.01,30,6,1814.3922855854034,1814.3922855854034,False,224
0.01,30,6,1860.3106203079224,1860.3106203079224,False,169
0.01,30,6,1975.5286452770233,1975.5286452770233,False,212
0.01,30,6,1902.1928234100342,1902.1928234100342,False,213
0.01,30,6,1996.5006012916565,1996.5006012916565,False,198
0.01,30,6,1984.3851027488708,1984.3851027488708,False,211
0.01,30,6,1904.6281468868256,1904.6281468868256,False,173
0.01,30,7,1851.8858935832977,1851.8858935832977,False,219
0.01,30,6,1892.2736296653748,1892.2736296653748,False,212
0.01,30,6,1876.291258096695,1876.291258096695,False,197
0.01,30,7,1834.0609414577484,1834.0609414577484,False,197
0.01,30,7,1910.884530544281,1910.884530544281,False,189
0.01,30,6,1888.0794320106506,1888.0794320106506,False,187
0.01,30,5,1850.2512583732605,1850.2512583732605,False,195
0.01,30,5,1936.7877733707428,1936.7877733707428,False,172
0.01,30,7,1820.3123724460602,1820.3123724460602,False,168
0.01,30,4,2028.5927362442017,2028.5927362442017,False,210
0.01,30,6,1967.4227933883667,1967.4227933883667,False,203
0.01,30,7,1913.9018292427063,1913.9018292427063,False,202
0.01,30,7,1915.1644117832184,1915.1644117832184,False,217
0.01,30,7,1890.8077454566956,1890.8077454566956,False,182
0.01,30,7,1899.89199924469,1899.89199924469,False,186
0.01,30,7,1914.2603018283844,1914.2603018283844,False,187
0.01,30,6,1912.344036102295,1912.344036102295,False,198
0.01,30,8,1972.1412770748138,1972.1412770748138,False,207
0.01,30,5,1807.7161393165588,1807.7161393165588,False,207
0.1,30,9,1868.1585907936096,1868.1585907936096,False,182
0.1,30,6,1384.669329404831,1384.669329404831,True,166
0.1,30,10,1869.3102314472198,1869.3102314472198,False,199
0.1,30,11,1878.1852326393127,1878.1852326393127,False,195
0.1,30,6,1160.8084480762482,1160.8084480762482,True,181
0.1,30,10,1796.2140169143677,1796.2140169143677,True,148
0.1,30,10,1947.2690303325653,1947.2690303325653,False,151
0.1,30,8,1930.1173412799835,1930.1173412799835,False,182
0.1,30,6,1729.8122782707214,1729.8122782707214,True,186
0.1,30,5,1192.969253063202,1192.969253063202,True,162
0.1,30,8,1946.0839521884918,1946.0839521884918,False,203
0.1,30,6,1191.8934893608093,1191.8934893608093,True,158
0.1,30,10,1841.5496010780334,1841.5496010780334,False,173
0.1,30,9,1908.1691768169403,1908.1691768169403,False,158
0.1,30,10,1914.5493943691254,1914.5493943691254,False,167
0.1,30,8,1986.5384125709534,1986.5384125709534,False,153
0.1,30,9,1707.062115907669,1707.062115907669,True,166
0.1,30,10,1820.295644044876,1820.295644044876,False,178
0.1,30,8,1858.7081847190857,1858.7081847190857,False,166
0.1,30,7,1579.006028175354,1579.006028175354,True,163
0.1,30,10,1866.1745190620422,1866.1745190620422,False,165
0.1,30,8,1922.7590878009796,1922.7590878009796,False,197
0.1,30,9,1948.5905158519745,1948.5905158519745,False,157
0.1,30,10,1870.7728621959686,1870.7728621959686,False,163
0.1,30,9,1925.522701740265,1925.522701740265,False,155
0.1,30,11,1813.030395269394,1813.030395269394,False,163
0.1,30,10,1853.5233702659607,1853.5233702659607,False,158
0.1,30,11,1873.1813769340515,1873.1813769340515,False,157
0.1,30,10,1897.5548775196075,1897.5548775196075,False,184
0.1,30,8,1851.5376031398773,1851.5376031398773,False,179
0.5,30,6,1138.5918312072754,1138.5918312072754,True,180
0.5,30,6,1179.1382369995117,1179.1382369995117,True,187
0.5,30,13,1880.5461065769196,1880.5461065769196,False,171
0.5,30,14,1897.493968486786,1897.493968486786,False,176
